brand,archetype,id,name,category,source_universe,lat,lng,state,municipality,locality,density_proxy_3x3_001deg,density_stratum,nearest_m,n_within_250m,n_within_500m,n_within_800m,n_within_1000m,n_within_1500m,n_within_2000m,n_within_3000m
OXXO,conveniencia,DENUE_6363012,OXXO SUC 50VKG TEPIC JUAN ESCUTIA GDL,autoservicio,seen_prod_denue,21.51647909,-104.89765049,Nayarit,Tepic,Tepic,3063,Q4_alta,464.1914316010208,0,3,9,11,23,28,40
OXXO,conveniencia,DENUE_6796494,OXXO SUC 50CIA TEPIC ZARAGOZA GDL,autoservicio,seen_prod_denue,21.5180591,-104.90180397,Nayarit,Tepic,Tepic,2699,Q4_alta,464.1914316010208,0,2,5,8,19,26,39
OXXO,conveniencia,DENUE_6287269,OXXO SUC 50CAL CALAFIA MXL,autoservicio,seen_prod_denue,32.63473711,-115.4523664,Baja California,Mexicali,Mexicali,653,Q2_media_baja,464.1979654010052,0,2,4,7,15,27,73
OXXO,conveniencia,DENUE_6288502,OXXO SUC 50WYK CHANES LAP,autoservicio,seen_prod_denue,23.09026959,-109.71792524,Baja California Sur,Los Cabos,San José del Cabo,694,Q2_media_baja,464.26257993262595,0,1,3,5,16,23,32
OXXO,conveniencia,DENUE_6394751,OXXO SUC 50FON INFONAVIT HMO,autoservicio,seen_prod_denue,29.07222032,-110.97445201,Sonora,Hermosillo,Hermosillo,1055,Q3_media_alta,464.29116440990947,0,1,3,7,18,28,67
OXXO,conveniencia,DENUE_9397115,OXXO SUC 500I8 MONACO HMO,autoservicio,seen_prod_denue,29.06902263,-110.97752403,Sonora,Hermosillo,Hermosillo,867,Q3_media_alta,464.29116440990947,0,1,5,5,14,29,65
OXXO,conveniencia,DENUE_6353451,OXXO SUC 50XXQ QUERETARO TLC,autoservicio,seen_prod_denue,19.9661962,-99.53413273,México,Jilotepec,Jilotepec de Molina Enríquez,575,Q2_media_baja,464.3510957891758,0,1,3,5,6,9,11
OXXO,conveniencia,DENUE_11749007,OXXO SUC 50GI8 VILLANUEVA BJX,autoservicio,seen_prod_denue,21.10022584,-101.69266784,Guanajuato,León,León de los Aldama,2209,Q4_alta,464.3952569120646,0,1,3,4,9,17,46
OXXO,conveniencia,DENUE_12322030,OXXO SUC 50H2A VILLA MANUEL MAF,autoservicio,seen_prod_denue,22.72870048,-98.3172743,Tamaulipas,González,Estación Manuel (Úrsulo Galván),369,Q1_baja,464.43186439437324,0,1,3,4,4,4,5
OXXO,conveniencia,DENUE_6403584,OXXO SUC 50KHB MANUEL CENTRO TAM,autoservicio,seen_prod_denue,22.72809049,-98.32175412,Tamaulipas,González,Estación Manuel (Úrsulo Galván),377,Q1_baja,464.43186439437324,0,1,2,4,4,4,4
