brand,archetype,n,n_with_nn,nn_p10_m,nn_p25_m,nn_p50_m,nn_p75_m,nn_p90_m,nn_mean_m,mean_sisters_within_250m,pct_with_any_sister_within_250m,mean_sisters_within_500m,pct_with_any_sister_within_500m,mean_sisters_within_800m,pct_with_any_sister_within_800m,mean_sisters_within_1000m,pct_with_any_sister_within_1000m,mean_sisters_within_1500m,pct_with_any_sister_within_1500m,mean_sisters_within_2000m,pct_with_any_sister_within_2000m,mean_sisters_within_3000m,pct_with_any_sister_within_3000m,pct_nn_le_10m,pct_nn_le_25m,pct_nn_le_60m,exact_coordinate_duplicate_locations,exact_coordinate_duplicate_rows,profile_sample_n_ge_30,method_label
OXXO,conveniencia,23534,23534,125.24807769283316,261.985459063317,424.48943843190295,658.1491191340087,1240.376759369468,951.8672722279001,0.32803603297357015,23.47242287753888,1.4087702897934902,60.164018016486786,3.629727203195377,82.33194527067222,5.520523497917906,87.23973825104105,11.42185773774114,91.76085663295657,18.804623098495792,93.64748873969576,36.96107758986997,95.423642389734,2.1713265913146937,3.471573043256565,5.651397977394408,32,68,YES,observed_spacing_descriptive_not_profitability_threshold
Farmacias Guadalajara,farmacia,2956,2956,158.59559622743612,578.2695111575744,946.8316037253376,1507.1645923938381,3004.8559034006557,2882.479659889993,0.14749661705006767,12.313937753721245,0.2733423545331529,20.77131258457375,0.6211096075778079,40.35859269282815,0.9499323410013532,52.60487144790257,2.164411366711773,74.86468200270636,3.56765899864682,83.25439783491204,6.972936400541272,89.95263870094723,4.330175913396482,6.292286874154263,8.051420838971584,2,4,YES,observed_spacing_descriptive_not_profitability_threshold
Tiendas 3B,tiendas_descuento,2267,2267,9.008492426984498,200.7586491807908,630.8407396271515,1426.2187554444808,5423.764996864726,2789.617890468669,0.33965593295103663,28.495809439788268,0.6678429642699603,42.78782531980591,1.2245258050286723,57.6532862814292,1.624172915747684,64.62284958094398,2.8231142479047198,76.04764005293339,4.337891486546096,82.88486987207763,8.137626819585355,86.50198500220556,10.322011468901632,17.33568592853992,20.95280105866784,4,8,YES,observed_spacing_descriptive_not_profitability_threshold
Starbucks,cafeteria_fast_food,908,908,0.0,106.13848540940812,623.20807311463,1487.7225884864044,3613.8755278685358,3938.7447553588636,0.7599118942731278,35.242290748898675,1.1828193832599119,47.3568281938326,1.724669603524229,55.72687224669603,2.118942731277533,62.55506607929515,3.4229074889867843,75.22026431718062,5.072687224669603,81.49779735682819,8.982378854625551,88.43612334801762,16.18942731277533,18.281938325991188,21.475770925110133,40,104,YES,observed_spacing_descriptive_not_profitability_threshold
McDonald's,fast_food,408,408,23.7881484982739,301.396317416659,1489.108689184775,2796.1934874581557,6242.157816506966,6281.3374635135715,0.3137254901960784,22.794117647058822,0.4264705882352941,30.88235294117647,0.5049019607843137,35.53921568627451,0.5735294117647058,38.48039215686274,0.9558823529411765,50.245098039215684,1.4166666666666667,62.745098039215684,2.5392156862745097,77.94117647058823,8.823529411764707,10.049019607843137,15.686274509803921,11,24,YES,observed_spacing_descriptive_not_profitability_threshold
