brand,archetype,density_stratum,density_proxy_median,n,n_with_nn,nn_p10_m,nn_p25_m,nn_p50_m,nn_p75_m,nn_p90_m,nn_mean_m,mean_sisters_within_250m,pct_with_any_sister_within_250m,mean_sisters_within_500m,pct_with_any_sister_within_500m,mean_sisters_within_800m,pct_with_any_sister_within_800m,mean_sisters_within_1000m,pct_with_any_sister_within_1000m,mean_sisters_within_1500m,pct_with_any_sister_within_1500m,mean_sisters_within_2000m,pct_with_any_sister_within_2000m,mean_sisters_within_3000m,pct_with_any_sister_within_3000m,pct_nn_le_10m,pct_nn_le_25m,pct_nn_le_60m,profile_sample_n_ge_30
OXXO,conveniencia,Q1_baja,182.0,6698,6698,163.39064574835095,411.9345886793582,709.0798811621615,1640.7393150340429,5093.985820181691,2233.3703667630525,0.15736040609137056,13.541355628545835,0.46491489997014035,32.63660794266946,1.1463123320394148,55.12093162137952,1.6693042699313227,62.988951925948044,3.237682890415049,73.26067482830696,5.2441027172290235,78.76978202448493,10.818453269632727,84.45804717826216,2.762018512988952,4.120633024783517,5.882352941176471,YES
OXXO,conveniencia,Q2_media_baja,579.0,6069,6069,133.03886565955798,286.75279677244447,428.4807889419336,607.4751952018028,826.2925719386733,558.9431444363166,0.2433679354094579,20.168067226890756,1.1034766847915636,61.39396935244686,2.9747899159663866,88.82847256549678,4.554292305157357,94.11764705882354,9.488877904102818,97.94035261163289,15.687263140550337,98.91250617894217,31.30004943153732,99.43977591036415,2.422145328719723,3.641456582633053,6.063601911352777,YES
OXXO,conveniencia,Q3_media_alta,1096.0,5610,5610,118.64240522604943,242.7733100957744,380.50588475752244,526.2699300578666,704.8680214557093,412.76760169541745,0.34652406417112297,26.007130124777184,1.5427807486631016,71.19429590017825,4.157932263814617,94.22459893048128,6.402317290552585,97.80748663101605,13.44830659536542,99.6969696969697,22.358823529411765,99.87522281639929,44.06702317290553,99.96434937611409,1.9607843137254901,3.4937611408199643,5.775401069518717,YES
OXXO,conveniencia,Q4_alta,2170.0,5157,5157,113.58789971367278,196.64848779282227,306.7734659913462,441.8130231031278,588.7298958076469,336.2958074340077,0.6292418072522784,37.50242388985844,2.8481675392670156,82.47042854372697,7.05138646499903,97.0913321698662,10.700407213496218,99.14679076982742,22.121970137676943,99.88365328679465,36.21950746558076,100.0,69.84758580570099,100.0,1.3379872018615475,2.4044987395772734,4.731433003684312,YES
Farmacias Guadalajara,farmacia,Q1_baja,291.0,275,275,635.7403626554544,1353.6112887287022,2384.78447697655,4896.782777821785,17095.70800872453,7759.066989401369,0.21818181818181817,9.090909090909092,0.21818181818181817,9.090909090909092,0.26181818181818184,12.363636363636363,0.3418181818181818,17.09090909090909,0.5927272727272728,28.727272727272727,0.9709090909090909,40.36363636363637,2.2654545454545456,61.81818181818182,4.363636363636363,6.909090909090909,7.636363636363637,YES
Farmacias Guadalajara,farmacia,Q2_media_baja,600.5,796,796,104.95196238236008,789.2408690510641,1271.6368178031148,2188.0849820883345,12606.618061789777,4688.969021230298,0.11683417085427136,11.306532663316583,0.15577889447236182,15.201005025125628,0.2964824120603015,26.13065326633166,0.4648241206030151,35.92964824120603,1.064070351758794,59.2964824120603,1.7412060301507537,71.98492462311557,3.6683417085427137,82.03517587939699,4.522613065326633,7.4120603015075375,9.045226130653266,YES
Farmacias Guadalajara,farmacia,Q3_media_alta,1116.0,975,975,225.4413692424846,603.5922656772432,895.4949027427367,1275.7171124904658,1720.1977169324737,1752.3341624423267,0.10871794871794872,10.256410256410257,0.21333333333333335,19.384615384615383,0.556923076923077,41.84615384615385,0.8964102564102564,58.46153846153846,2.155897435897436,85.02564102564102,3.556923076923077,92.82051282051282,6.902564102564103,96.0,4.923076923076923,5.435897435897436,7.6923076923076925,YES
Farmacias Guadalajara,farmacia,Q4_alta,2055.0,910,910,132.34484059617247,426.68116245995554,692.8508481635694,1041.4404982374556,1402.227224593995,1039.4739596361078,0.1945054945054945,16.373626373626372,0.45714285714285713,30.65934065934066,1.0824175824175823,59.67032967032967,1.6153846153846154,71.64835164835165,3.610989010989011,91.53846153846153,5.961538461538462,95.82417582417582,11.361538461538462,98.9010989010989,3.5164835164835164,6.043956043956044,7.6923076923076925,YES
Tiendas 3B,tiendas_descuento,Q1_baja,230.0,393,393,13.615555158962074,634.1034192356727,3288.6956314187846,8874.593800467821,14582.604671987656,7427.828856720081,0.18575063613231552,17.557251908396946,0.25699745547073793,21.88295165394402,0.3333333333333333,26.717557251908396,0.3435114503816794,27.480916030534353,0.4173027989821883,31.552162849872772,0.5623409669211196,38.67684478371501,1.1323155216284988,46.81933842239186,9.16030534351145,12.468193384223918,13.994910941475826,YES
Tiendas 3B,tiendas_descuento,Q2_media_baja,566.0,421,421,9.75198122839531,221.85439776810682,756.2248649586654,1788.9859231829146,7223.470234971259,4254.4023652742035,0.36342042755344417,28.741092636579573,0.6532066508313539,41.33016627078385,0.8812351543942993,50.8313539192399,1.009501187648456,55.819477434679335,1.3895486935866983,67.6959619952494,1.9216152019002375,78.14726840855107,3.178147268408551,83.8479809976247,10.21377672209026,15.914489311163896,18.28978622327791,YES
